0	0.0482	1.27	0.256	-1.1	0.442	0.298	0.256	0.618
1	0.0465	1.11	0.277	-1.1	0.392	0.208	0.277	0.18
2	0.0937	1.01	0.287	-0.995	0.337	0.2	0.287	0.287
3	0.118	1.05	0.255	-0.785	0.388	0.235	0.255	0.436
4	0.128	1.15	0.228	-2.25	0.231	0.425	0.228	0.438
5	0.117	0.976	0.27	-2.04	0.197	0.355	0.27	0.595
6	0.187	0.994	0.263	-1.94	0.232	0.402	0.263	0.145
7	0.117	1.01	0.278	-1.62	0.221	0.404	0.278	0.178
8	0.143	1.06	0.271	-1.73	0.192	0.379	0.271	0.527
9	0.183	1.14	0.255	-1.31	0.188	0.348	0.255	0.793
10	0.189	1.19	0.26	-1.31	0.219	0.395	0.26	0.174
11	0.266	1.24	0.239	-1.2	0.267	0.373	0.239	0.32
12	0.181	1.29	0.233	-0.89	0.239	0.422	0.233	0.34
13	0.256	1.23	0.247	-2.36	0.417	0.218	0.247	0.213
14	0.357	1.41	0.186	-2.25	0.578	0.286	0.186	0.696
15	0.41	1.37	0.212	-2.25	0.493	0.303	0.212	0.857
16	0.379	1.34	0.208	-2.04	0.475	0.237	0.208	0.472
17	0.252	1.1	0.277	-1.94	0.192	0.227	0.277	0.373
18	0.156	1.09	0.284	-1.62	0.166	0.218	0.284	0.424
19	0.287	1.11	0.286	-1.83	0.184	0.23	0.286	0.741
24	0.0344	1.33	0.281	-0.995	0.342	0.259	0.281	0.579
25	-0.0495	1.43	0.284	-0.995	0.392	0.248	0.284	0.218
26	-0.0349	1.49	0.298	-0.89	0.416	0.233	0.298	0.295
27	-0.0382	1.55	0.275	-2.36	0.25	0.409	0.275	0.195
28	-0.0707	1.45	0.295	-2.25	0.243	0.373	0.295	0.0954
29	-0.118	1.5	0.241	-2.15	0.267	0.424	0.241	0.329
30	-0.0579	1.5	0.276	-2.04	0.202	0.404	0.276	0
31	-0.0356	1.47	0.235	-1.94	0.234	0.395	0.235	0.5
32	-0.0723	1.46	0.198	-1.83	0.268	0.423	0.198	0.628
34	0.0192	1.36	0.243	-1.52	0.233	0.437	0.243	0.441
36	0.0133	1.19	0.266	-1.41	0.209	0.391	0.266	0.165
37	0.0476	1.18	0.274	-1.31	0.204	0.41	0.274	0.195
38	0.079	1.22	0.259	-1.1	0.231	0.397	0.259	0.283
39	-0.0586	1.46	0.167	-0.995	0.45	0.439	0.167	0.499
40	0.128	1.26	0.247	-0.995	0.244	0.432	0.247	0.314
41	0.0303	1.23	0.296	-0.785	0.245	0.414	0.296	0.372
42	-0.112	1.26	0.243	-2.25	0.447	0.247	0.243	0.326
43	0.00817	1.14	0.329	-2.25	0.344	0.205	0.329	0.442
44	0.168	1.27	0.264	-0.785	0.29	0.395	0.264	0.408
45	0.226	1.26	0.278	-2.25	0.451	0.265	0.278	0.398
46	0.0559	1.2	0.3	-2.15	0.381	0.268	0.3	0.5
47	-0.0931	1.29	0.24	-1.94	0.387	0.292	0.24	0.451
48	0.0425	1.2	0.296	-1.94	0.289	0.227	0.296	0.182
49	-0.0625	1.21	0.3	-1.83	0.303	0.226	0.3	0.308
50	-0.0438	1.24	0.273	-1.73	0.331	0.262	0.273	0.4
51	0.00309	1.33	0.273	-1.73	0.406	0.223	0.273	0.287
52	-0.0261	1.36	0.283	-1.41	0.394	0.233	0.283	0.28
54	-0.0489	1.21	0.31	-1.31	0.286	0.201	0.31	0.247
55	-0.0532	1.34	0.291	-1.2	0.455	0.243	0.291	0.356
56	0.00405	1.28	0.322	-1.2	0.398	0.23	0.322	0.438
57	-0.0374	1.3	0.325	-1.2	0.441	0.229	0.325	0.453
