1341841278.8427	0.0000	0.0000	1.1019	-0.9089	0.0002	0.0004	0.4171	
1341841279.5107	0.0000	0.0000	1.0996	-0.9076	0.0024	0.0051	0.4198	
1341841280.1825	0.0000	0.0000	1.1107	-0.9087	-0.0015	-0.0033	0.4175	
1341841280.8507	0.0000	0.0000	1.1120	-0.9117	-0.0017	-0.0037	0.4108	
1341841281.5546	0.0000	0.0000	1.0916	-0.9158	-0.0011	-0.0025	0.4017	
1341841282.2265	0.0000	0.0000	1.0901	-0.9141	-0.0027	-0.0061	0.4054	
1341841282.8987	0.0000	0.0000	1.0889	-0.9134	-0.0086	-0.0193	0.4064	
1341841283.5665	0.0000	0.0000	1.0823	-0.9125	-0.0154	-0.0345	0.4072	
1341841284.2388	0.0000	0.0000	1.0771	-0.9106	-0.0214	-0.0476	0.4101	
1341841284.9067	0.0000	0.0000	1.0799	-0.9154	-0.0150	-0.0343	0.4007	
1341841285.6124	0.0000	0.0000	1.0839	-0.9084	-0.0157	-0.0342	0.4163	
1341841286.2827	0.0000	0.0000	1.0731	-0.9111	-0.0189	-0.0422	0.4095	
1341841286.9506	0.0000	0.0000	1.0644	-0.9087	-0.0207	-0.0455	0.4144	
1341841287.6227	0.0000	0.0000	1.0717	-0.9062	-0.0226	-0.0488	0.4195	
1341841288.2946	0.0000	0.0000	1.0469	-0.9113	-0.0270	-0.0605	0.4064	
1341841288.9627	0.0000	0.0000	1.0410	-0.9050	-0.0230	-0.0494	0.4219	
1341841289.6346	0.0000	0.0000	1.0370	-0.9005	-0.0199	-0.0415	0.4325	
1341841290.303	0.0000	0.0000	1.0291	-0.9002	-0.0135	-0.0280	0.4343	
1341841290.9745	0.0000	0.0000	0.9920	-0.8985	-0.0210	-0.0432	0.4364	
1341841291.6426	0.0000	0.0000	0.9804	-0.8924	-0.0178	-0.0354	0.4495	
1341841292.3147	0.0000	0.0000	0.9661	-0.8569	0.0030	0.0049	0.5154	
1341841292.9866	0.0000	0.0000	0.9256	-0.8524	-0.0181	-0.0295	0.5217	
1341841293.6548	0.0000	0.0000	0.8924	-0.8499	-0.0044	-0.0071	0.5269	
1341841294.3266	0.0000	0.0000	0.9245	-0.8669	-0.0215	-0.0376	0.4966	
1341841294.9952	0.0000	0.0000	1.0231	-0.8934	-0.0197	-0.0393	0.4471	
1341841295.6666	0.0000	0.0000	1.0935	-0.8898	-0.0031	-0.0061	0.4563	
1341841296.3348	0.0000	0.0000	1.1132	-0.8865	0.0085	0.0163	0.4623	
1341841297.0065	0.0000	0.0000	1.0842	-0.8936	0.0083	0.0164	0.4485	
1341841297.6786	0.0000	0.0000	1.0905	-0.8958	0.0054	0.0110	0.4443	
1341841298.3466	0.0000	0.0000	1.0892	-0.8999	0.0010	0.0020	0.4360	
1341841299.0185	0.0000	0.0000	1.0975	-0.8938	0.0086	0.0171	0.4481	
1341841299.6866	0.0000	0.0000	1.0879	-0.8939	0.0073	0.0146	0.4480	
1341841300.3656	0.0000	0.0000	1.0942	-0.8992	0.0085	0.0176	0.4371	
1341841301.0336	0.0000	0.0000	1.1004	-0.9018	0.0052	0.0109	0.4319	
1341841301.7057	0.0000	0.0000	1.0900	-0.9057	0.0046	0.0099	0.4238	
1341841302.3776	0.0000	0.0000	1.0970	-0.9015	0.0047	0.0099	0.4326	
1341841303.0456	0.0000	0.0000	1.0994	-0.9048	0.0028	0.0060	0.4257	
1341841303.7106	0.0000	0.0000	1.1132	-0.9055	0.0031	0.0066	0.4242	
1341841304.3787	0.0000	0.0000	1.1051	-0.9075	0.0058	0.0126	0.4198	
1341841305.0506	0.0000	0.0000	1.1066	-0.9086	0.0149	0.0325	0.4161	
1341841305.7227	0.0000	0.0000	1.1156	-0.9175	0.0094	0.0218	0.3971	
1341841306.3907	0.0000	0.0000	1.1478	-0.9077	0.0038	0.0081	0.4195	
1341841307.0627	0.0000	0.0000	1.1422	-0.9233	0.0113	0.0272	0.3828	
1341841307.7306	0.0000	0.0000	1.1886	-0.9044	0.0011	0.0024	0.4267	
1341841308.4099	0.0000	0.0000	1.1961	-0.9146	0.0051	0.0116	0.4041	
1341841309.1095	0.0000	0.0000	1.2251	-0.9089	0.0097	0.0211	0.4163	
1341841309.7816	0.0000	0.0000	1.2287	-0.9184	0.0062	0.0145	0.3953	
1341841310.4468	0.0000	0.0000	1.2179	-0.9293	0.0092	0.0233	0.3686	
1341841311.1507	0.0000	0.0000	1.2415	-0.9211	0.0039	0.0093	0.3892	
1341841311.8186	0.0000	0.0000	1.2397	-0.9228	-0.0023	-0.0056	0.3853	
1341841312.4905	0.0000	0.0000	1.2555	-0.9256	-0.0006	-0.0016	0.3785	
1341841313.1696	0.0000	0.0000	1.2677	-0.9180	-0.0008	-0.0019	0.3965	
1341841313.8695	0.0000	0.0000	1.2733	-0.9138	-0.0070	-0.0157	0.4057	
1341841314.5706	0.0000	0.0000	1.2827	-0.9214	-0.0014	-0.0034	0.3886	
1341841315.2456	0.0000	0.0000	1.2867	-0.9263	-0.0007	-0.0017	0.3768	
1341841315.9108	0.0000	0.0000	1.3087	-0.9196	0.0082	0.0192	0.3922	
1341841316.5786	0.0000	0.0000	1.3228	-0.9178	0.0079	0.0182	0.3965	
1341841317.2506	0.0000	0.0000	1.3149	-0.9218	-0.0007	-0.0017	0.3878	
